CO2,Radiation,diameter,humidity,outside_temperature,inside_temperature,measurement,Yield
35.7,20.85,29.53,0.91,35.7,27.48,2.46,35.7
35.1,26.92,29.77,0.93,35.1,26.92,2.83,35.7
33.38,26.95,29.36,0.94,33.38,26.95,2.95,35.7
28.05,25.93,29.47,0.94,33.19,27.17,2.89,35.7
28.83,25.98,29.86,0.94,33.85,27.07,2.97,35.7
30.32,22.4,28.91,0.91,33.19,28.79,2.85,35.7
61.87,24.98,33.35,0.72,61.87,29.61,9.7,14.4
61.94,24.74,33.2,0.72,61.94,29.57,9.72,14.4
61.19,26.95,35.18,0.75,61.19,31.49,9.58,14.4
61.35,26.87,35.15,0.73,61.35,32.62,9.76,14.4
61.17,27.18,35.47,0.74,61.17,32.67,9.72,14.4
60.71,28.19,36.32,0.76,60.71,33.33,9.68,14.4
57.6,31.2,34.54,0.69,57.6,36.15,9.91,46.5
57.36,30.05,34.05,0.69,57.36,36.14,9.93,46.5
57.51,30.79,34.5,0.69,57.51,36.27,9.92,46.5
57.4,30.3,34.0,0.68,57.4,36.05,9.93,46.5
57.25,30.99,33.59,0.67,57.25,35.97,9.96,46.5
57.23,31.33,33.55,0.67,57.23,35.9,9.96,46.5
54.83,25.6,30.61,0.66,54.83,31.49,9.94,45.6
56.56,29.7,33.18,0.67,56.56,35.28,9.95,45.6
56.86,29.41,32.8,0.67,56.86,35.64,9.96,45.6
55.43,26.39,31.3,0.67,55.43,32.2,9.94,45.6
55.15,25.42,31.27,0.67,55.15,31.8,9.98,45.6
54.87,28.86,32.39,0.67,54.87,35.73,9.97,45.6
66.45,34.7,43.11,0.75,66.45,39.12,9.75,13.1
66.4,34.74,42.24,0.73,66.4,39.81,9.84,13.1
67.2,38.17,44.86,0.75,67.2,41.61,9.79,13.1
67.32,38.45,45.0,0.75,67.32,41.75,9.8,13.1
66.62,36.95,44.1,0.76,66.62,40.69,9.74,13.1
66.99,36.25,44.41,0.76,66.99,40.24,9.51,13.1
62.87,32.23,32.33,0.6,62.87,36.18,10.0,13.8
63.01,32.11,31.62,0.58,63.01,36.28,10.0,13.8
62.99,32.15,31.78,0.59,62.99,36.41,10.0,13.8
62.99,32.17,31.88,0.59,62.99,36.47,10.0,13.8
62.86,32.24,32.45,0.6,62.86,36.19,10.0,13.8
62.83,32.04,33.25,0.63,62.83,35.88,10.0,13.8
41.79,30.09,32.76,0.85,41.79,32.33,6.3,52.4
40.5,26.87,32.76,0.88,40.5,31.82,5.88,52.4
40.73,28.1,33.25,0.88,40.73,32.84,5.83,52.4
41.71,29.86,32.78,0.85,41.71,32.33,6.26,52.4
41.74,29.93,32.77,0.85,41.74,32.31,6.27,52.4
40.68,28.37,33.36,0.88,40.68,32.99,6.0,52.4
54.96,24.93,28.89,0.65,54.96,28.71,9.8,52.9
54.25,25.35,28.82,0.64,54.25,29.69,9.82,52.9
54.24,25.34,28.82,0.64,54.24,29.67,9.83,52.9
54.17,25.98,29.02,0.64,54.17,30.66,9.77,52.9
54.17,26.0,29.03,0.64,54.17,30.68,9.77,52.9
54.62,25.35,29.04,0.64,54.62,30.07,9.8,52.9
61.24,30.34,36.36,0.7,61.24,36.69,10.0,21.4
61.22,30.54,36.52,0.7,61.22,36.89,10.0,21.4
61.15,29.76,36.47,0.7,61.15,35.98,10.0,21.4
61.05,29.15,36.83,0.71,61.05,35.42,10.0,21.4
61.05,27.37,36.74,0.71,61.05,33.94,10.0,21.4
61.21,25.13,36.31,0.69,61.21,32.09,10.0,21.4
61.96,19.58,30.49,0.68,61.96,25.14,9.87,13.3
62.28,20.84,29.68,0.68,62.28,26.76,9.97,13.3
61.86,21.75,30.62,0.68,61.86,26.79,9.86,13.3
62.09,24.19,32.82,0.71,62.09,29.36,9.77,13.3
61.92,24.22,32.68,0.71,61.92,28.49,9.71,13.3
61.94,24.4,32.9,0.71,61.94,28.99,9.72,13.3
61.78,17.95,27.07,0.64,61.78,25.26,9.95,27.6
62.71,17.84,26.83,0.64,62.71,25.37,9.98,27.6
62.32,17.29,26.93,0.64,62.32,25.0,9.96,27.6
61.86,17.72,27.12,0.64,61.86,25.22,9.95,27.6
62.79,17.53,26.84,0.64,62.79,25.15,9.97,27.6
62.49,18.27,27.1,0.65,62.49,25.57,9.96,27.6
67.28,38.3,44.96,0.75,67.28,41.71,9.8,16.5
67.07,36.48,43.47,0.73,67.07,41.24,9.82,16.5
67.06,36.62,43.6,0.74,67.06,41.31,9.81,16.5
67.44,37.82,44.18,0.73,67.44,41.8,9.85,16.5
67.0,36.83,43.81,0.74,67.0,41.37,9.8,16.5
67.05,36.78,43.74,0.74,67.05,41.39,9.8,16.5
62.71,26.44,29.13,0.61,62.71,32.22,10.0,14.6
62.96,25.48,27.89,0.59,62.96,31.52,10.0,14.6
63.3,25.51,28.45,0.6,63.3,31.27,10.0,14.6
63.28,25.57,29.78,0.62,63.28,31.74,9.99,14.6
63.29,25.62,29.78,0.62,63.29,31.76,9.99,14.6
63.1,26.15,29.34,0.62,63.1,32.02,9.98,14.6
61.27,29.76,38.32,0.76,61.27,35.92,9.98,14.2
60.76,29.69,38.38,0.76,60.76,36.22,9.98,14.2
61.01,29.58,38.24,0.75,61.01,36.07,9.98,14.2
58.68,30.88,39.09,0.77,58.68,37.45,10.0,14.2
58.83,30.76,39.1,0.77,58.83,37.38,10.0,14.2
58.86,30.85,39.11,0.77,58.86,37.35,10.0,14.2
63.23,46.46,45.59,0.71,63.23,48.88,9.83,52.2
62.59,44.98,44.8,0.7,62.59,48.06,9.63,52.2
62.82,45.84,45.07,0.7,62.82,48.52,9.68,52.2
62.77,45.75,45.09,0.71,62.77,48.49,9.67,52.2
62.13,43.16,44.34,0.7,62.13,46.69,9.61,52.2
61.97,43.15,44.04,0.7,61.97,46.64,9.69,52.2
70.82,50.61,51.16,0.73,70.82,50.61,9.95,31.5
70.8,50.59,51.16,0.73,70.8,50.59,9.95,31.5
70.83,50.58,51.17,0.73,70.83,50.58,9.95,31.5
70.82,50.64,51.17,0.73,70.82,50.64,9.95,31.5
70.84,50.54,51.17,0.73,70.84,50.54,9.94,31.5
69.37,47.3,50.7,0.75,69.37,49.17,9.95,31.5
47.1,24.05,24.73,0.63,48.46,30.23,10.0,52.4
48.3,24.01,24.0,0.6,48.83,30.07,10.0,52.4
46.22,27.19,26.3,0.61,48.18,33.51,10.0,52.4
48.16,27.81,25.0,0.57,49.01,34.28,10.0,52.4
48.14,27.81,25.07,0.57,49.02,34.38,10.0,52.4
47.5,28.55,25.84,0.57,49.31,34.73,10.0,52.4
44.41,25.51,31.02,0.79,44.41,32.84,9.76,38.4
44.22,25.35,30.83,0.79,44.22,32.68,9.79,38.4
42.73,27.39,32.03,0.79,46.22,33.98,9.62,38.4
42.78,26.73,31.5,0.8,44.72,33.6,9.74,38.4
42.79,26.79,31.52,0.8,44.82,33.64,9.74,38.4
37.85,22.75,30.32,0.83,42.26,29.85,9.68,38.4
58.84,31.51,38.77,0.8,58.84,36.63,9.71,18.1
